id,character,name,gender,order
1207268,Dancer,Carvon Futrell,0,52
1207269,Dancer,Brandon Jelkes,0,53
1207270,Dancer,Micah Moch,0,54
1207271,Dancer,Hanniyah Muhammad,0,55
1207272,Dancer,Christopher Nolen,0,56
1207273,Dancer,Christa Oliver,0,57
1207274,Dancer,April Marie Thomas,0,58
1207275,Dancer,Bravita A. Threatt,0,59
1207276,Mining Chief (uncredited),Colin Bleasdale,0,60
107969,Veteran Miner (uncredited),Mike Bodnar,0,61
1207278,Richard (uncredited),Matt Clayton,0,62
147898,Nav'i (uncredited),Nicole Dionne,1,63
1207280,Trooper (uncredited),Jamie Harrison,0,64
1207281,Trooper (uncredited),Allan Henry,0,65
1207282,Ground Technician (uncredited),Anthony Ingruber,2,66
1207283,Flight Crew Mechanic (uncredited),Ashley Jeffery,0,67
98216,Samson Pilot,Dean Knowsley,0,68
1201399,Trooper (uncredited),Joseph Mika-Hunt,0,69
236696,Banshee (uncredited),Terry Notary,0,70
1207287,Soldier (uncredited),Kai Pantano,0,71
1207288,Blast Technician (uncredited),Logan Pithyou,0,72
1207289,Vindum Raah (uncredited),Stuart Pollock,0,73
584868,Hero (uncredited),Raja,0,74
1207290,Ops Centreworker (uncredited),Gareth Ruck,0,75
1062463,Engineer (uncredited),Rhian Sheehan,0,76
60656,Col. Quaritch's Mech Suit (uncredited),T. J. Storm,0,77
1207291,Female Marine (uncredited),Jodie Taylor,0,78
1186027,Ikran Clan Leader (uncredited),Alicia Vela-Bailey,1,79
1207292,Geologist (uncredited),Richard Whiteside,0,80
103259,Na'vi (uncredited),Nikie Zambo,0,81
42286,Ambient Room Tech / Troupe,Julene Renee,1,82
85,Captain Jack Sparrow,Johnny Depp,2,0
114,Will Turner,Orlando Bloom,2,1
116,Elizabeth Swann,Keira Knightley,1,2
1640,"William ""Bootstrap Bill"" Turner",Stellan Skarsgård,2,3
1619,Captain Sao Feng,Chow Yun-fat,2,4
2440,Captain Davy Jones,Bill Nighy,2,5
118,Captain Hector Barbossa,Geoffrey Rush,2,6
1709,Admiral James Norrington,Jack Davenport,2,7
2449,Joshamee Gibbs,Kevin McNally,2,8
2441,Lord Cutler Beckett,Tom Hollander,2,9
2038,Tia Dalma,Naomie Harris,1,10
378,Governor Weatherby Swann,Jonathan Pryce,2,11
1430,Captain Teague Sparrow,Keith Richards,2,12
1710,Pintel,Lee Arenberg,2,13
1711,Ragetti,Mackenzie Crook,2,14
4031,Lieutenant Theodore Groves,Greg Ellis,2,15
1715,Cotton,David Bailie,2,16
4030,Marty,Martin Klebba,2,17
939,Ian Mercer,David Schofield,0,18
2450,Scarlett,Lauren Maher,1,19
2452,Giselle,Vanessa Branch,1,20
1714,Mullroy,Angus Barnett,2,21
1713,Murtogg,Giles New,0,22
22075,Tai Huang,Reggie Lee,2,23
61259,Henry Turner,Dominic Scott Kay,2,24
33500,Mistress Ching,Takayo Fischer,1,25
1224149,Lieutenant Greitzer,David Meunier,2,26
429401,Hadras,Ho-Kwan Tse,2,27
1123,Clacker,Andy Beckwith,0,28
1056117,Penrod,Peter Donald Badalamenti II,2,29
21700,Cotton's Parrot (voice),Christopher S. Capp,2,30
2603,Captain Jocard,Hakeem Kae-Kazim,2,32
70577,Captain Ammand,Ghassan Massoud,0,33
8784,James Bond,Daniel Craig,2,0
27319,Blofeld,Christoph Waltz,2,1
121529,Madeleine,Léa Seydoux,1,2
5469,M,Ralph Fiennes,2,3
28782,Lucia,Monica Bellucci,1,4
17064,Q,Ben Whishaw,2,5
543530,Hinx,Dave Bautista,2,7
125660,C,Andrew Scott,2,8
139549,Tanner,Rory Kinnear,2,9
2244,Mr. White,Jesper Christensen,2,10
1381616,Marco Sciarra,Alessandro Cremona,0,11
929937,Estrella,Stephanie Sigman,1,12
87265,Mexican Man in Lift,Tenoch Huerta,0,13
983710,Mexican Woman in Lift,Adriana Paz,1,14
1385592,Gallo,Domenico Fortunato,2,15
1545546,Gallo's Accomplice,Marco Zingaro,0,16
1545547,Gallo's Accomplice,Stefano Elfi DiClaudia,2,17
122556,Q's Assistant,Ian Bonar,0,18
1599239,Moneypenny's Boyfriend,Tam Williams,2,19
1599241,Blofeld's London Helicopter Pilot,Richard Banham,2,20
230681,SC019 Police Commander,Pip Carter,2,21
30446,SC019 Police Officer,Simon Lenagan,2,22
48377,Priest,Alessandro Bressanello,2,23
578512,Moreau,Marc Zinga,0,24
1093974,Vogel,Brigitte Millar,0,25
89624,Abrika,Adel Bencherif,2,26
1129783,Blofeld's Right Hand Man,Gediminas Adomaitis,2,27
226388,Lorenzo,Peppe Lanzetta,0,28
1299312,Francesco,Francesco Arca,2,29
124628,Marco,Matteo Taranto,2,30
1562103,Palazzo Security,Emilio Aniba,2,31
1474616,Guerra,Benito Sagredo,2,32
1247684,Businessman,Dai Tabuchi,2,33
1599245,Businessman,George Lasha,2,34
1599247,Businessman,Sargon Yelda,0,35
1599251,Businessman,Andy Cheung,2,36
1599252,Marshall,Erick Hayden,2,37
1599253,Valerian,Oleg Mirochnikov,2,38
123548,Fiat Driver,Antonio Salines,2,39
1599254,Street Sweeper,Miloud Mourad Benamara,2,40
1599255,Chairman,Gido Schimanski,2,41
1404403,Head of Nation,Nigel Barber,0,42
74415,Head of Nation,Patrice Naiambana,2,43
1599256,Head of Nation,Stephane Cornicard,2,44
1599257,Head of Nation,Gary Fannin,2,45
1599258,Head of Nation,Sadao Ueda,2,46
1599259,Head of Nation,Phillip Law,0,47
1599260,Head of Nation,Wai Wong,2,48
1477143,Head of Nation,Joseph Balderrama,2,49
1599261,Aide,Eiji Mihara,2,50
1168129,Aide,Junichi Kajioka,2,51
48393,Clinic Barman,Victor Schefé,0,52
1437333,Clinic Security Guard,Harald Windisch,2,53
1599262,Clinic Security Guard,Tristan Matthiae,2,54
14637,Cable Car Heavy,Detlef Bothe,2,55
1599263,Cable Car Heavy,Bodo Friesecke,2,56
1599264,Syringe Heavy,Wilhem Iben,2,57
1599265,Snowboarder,Noemi Krausz,1,58
1599266,Snowboarder,Noah Saavedra,2,59
1599267,Snowboarder,Francis Attakpah,0,60
1599268,Snowboarder,Michael Glantschnig,2,61
1599269,Snowboarder,Marlon Boess,2,62
1599270,Snowboarder,Marie Wohlmuth,1,63
1599271,Snowboarder,Lili Epply,1,64
1599272,Snowboarder,Konstantin Gerlach,2,65
1102369,L'Americain Manater,Lara Parmiani,1,66
1372694,Train Guard,Umit Ulgen,2,67
1363060,Train Waiter,Amra Mallassi,2,68
1599275,Train Barman,Ziad Abaza,2,69
1599276,Blofeld's Chauffeur,Walid Mumuni,2,70
1599277,Blofeld's Guard,Derek Horsham,0,71
229320,Blofeld's Guard,Nari Blair-Mangat,2,72
1599278,Blofeld's Butler,Michael White,0,73
1599279,Blofeld's Waiter,Adam McGrady,0,74
1436816,Blofeld's Analyst,Nader Dernaika,2,75
1599280,Blofeld's Chief Analyst,Pezhmaan Alinia,2,76
5309,M (uncredited),Judi Dench,1,77
1186597,Clinic Patron (uncredited),Neve Gachev,1,78
1654739,Businessman (uncredited),Karl Farrer,2,79
1682535,Lair Staff (uncredited),Kim Adis,1,80
1682536,Mexican Sprite (uncredited),Maurisa Selene Coleman,1,81
1725801,Pilot David,Matija Mondi Matović,2,82
3894,Bruce Wayne / Batman,Christian Bale,2,0
3895,Alfred Pennyworth,Michael Caine,2,1
64,James Gordon,Gary Oldman,2,2
1813,Selina Kyle / Catwoman,Anne Hathaway,1,3
2524,Bane,Tom Hardy,2,4
8293,Miranda Tate,Marion Cotillard,1,5
24045,Blake,Joseph Gordon-Levitt,2,6
192,Lucius Fox,Morgan Freeman,2,7
2037,Dr. Jonathan Crane / Scarecrow,Cillian Murphy,2,8
36594,Jen,Juno Temple,1,9
3896,Ra's Al Ghul,Liam Neeson,2,10
8654,Deputy Commissioner Foley,Matthew Modine,2,11
16607,Dr. Pavel,Alon Aboutboul,2,12
77335,Daggett,Ben Mendelsohn,2,13
21316,The Mayor,Nestor Carbonell,2,14
928532,Young Ra's Al Ghul,Josh Pence,0,15
71010,Prisoner,Tom Conti,0,16
125025,Young Talia Al Ghul,Joey King,1,17
211521,Mercenary Security #1,Warren Brown,2,18
10582,Captain Jones,Daniel Sunjata,2,19
224365,Special Ops Sergeant,Sam Kennard,0,20
1334307,Hooded Man #2,Aliash Tepina,0,21
1334308,Caterer,Nick Julian,0,22
1334309,Maid,Miranda Nolan,1,23
1172491,Maid,Claire Julien,0,24
49735,CIA Op,Aidan Gillen,2,25
39659,Stryver,Burn Gorman,0,26
16841,Congressman,Brett Cullen,2,27
159879,DWP Man,Joseph Lyle Taylor,2,29
8191,Fr. Reilly,Chris Ellis,2,30
1240417,SWAT in Dive Bar,Duane Henry,2,31
1218818,SWAT in Alley,James Harvey Ward,0,32
84754,Cop in Manhole,Gonzalo Menendez,2,33
1473276,Sewer Thug #1,Cameron Jack,2,34
1364324,Sewer Thug #2,Lex Daniel,2,35
1473749,Mark,Tyler Dean Flores,2,36
539,Doctor,Thomas Lennon,2,37
158484,Yuppie,Trevor White,0,38
10689,Allen,Rob Brown,2,39
9632,Exchange Security Chief,Fredric Lehne,2,40
1205900,Female Security Guard,Courtney Munch,0,41
1403768,Paparazzi #1,Chris Hill,2,42
1465242,Paparazzi #2,Travis Guba,2,43
141014,Rich Twit,Jay Benedict,2,44
32363,Officer Simon Jansen,Will Estes,2,45
21182,Shoe Shine Man at GSE,David Dayan Fisher,2,46
83271,Trader #1,Glen Powell,2,47
535,Trader #3,Russ Fega,2,48
1226016,Valet at Museum,Andres Perez-Molina,2,49
15011,Veteran Cop,Brent Briscoe,2,50
70225,Fredericks,John Nolan,2,51
24627,2 Star Air Force General,Oliver Cotton,2,52
142290,Airport Cop,Mark Killeen,0,53
1377686,Analyst #1,Sarah Goldberg,0,54
550549,Analyst #2,John MacMillan,2,55
21505,Army Captain at Bridge,Robert Wisdom,2,56
98804,Cement Truck Driver,Ronnie Gene Blevins,2,57
1386824,CIA Analyst,John Hollingworth,0,58
31362,Cop with Gordon,Ian Bohen,2,59
145313,Blind Prisoner,Uri Gavriel,2,60
53252,Ex-Prisoner at River,Noel Gugliemi,2,61
24202,Gangbanger,Hector Atreyu Ruiz,2,62
1301187,Huge Inmate,Patrick Cox,0,63
204191,Kid with Apple,Aramis Knight,2,64
40039,Barsad,Josh Stewart,2,65
21416,President,William Devane,2,66
55411,Skinny Prisoner,David Gyasi,2,67
1244314,Special Forces #2,Patrick Jordan,2,68
1286878,Mercenary at City Hall,Joshua Elijah Reese,0,69
6365,Uniform,Desmond Harrington,2,70
1417415,Bomb Truck Driver,Mychael Bates,2,71
941,Wayne's Lawyer,Tomas Arana,2,72
1225911,Applied Sciences Tech #1,Peter Holden,0,73
100891,Applied Sciences Tech #2,David Monahan,2,74
20469,Lawyer's Clerk,Jillian Armenante,1,75
105832,Greeter at Museum,Aja Evans,1,76
1355615,Valet at Wayne Enterprises,Aldous Davidson,0,77
51930,Warden at Blackgate,Wade Williams,2,78
95577,Waiter in Florence Café,Jake Canuso,0,79
1010873,Janitor at GSE,Massi Furlan,0,81
26088,Mercenary Security #4,Christopher Judge,2,82
853194,Board Member #2,Patrick Leahy,2,83
171606,Uniform #2,Todd Gearhart,0,84
1406682,Gotham City Police Officer (uncredited),Marc Abbink,2,85
1167718,Young Stock Broker (uncredited),Isiah Adams,0,86
572221,Gotham City Police Officer (uncredited),Charlie Alejandro,1,87
1116933,Former Upscaler (uncredited),Robert Arensen,2,88
1524158,Angry Mobster / Prisoner (uncredited),Grant Babbitt,0,89
139188,Gotham Rogues Fan (uncredited),Fileena Bahris,0,90
1075845,Mercenary (uncredited),Rick Bolander,0,91
1283949,Police Officer (uncredited),Kyle Patrick Brennan,0,92
1344943,Gotham City Police Officer (uncredited),Scott Churchson,0,93
1240191,Gotham Rogues Coach (uncredited),Bill Cowher,0,94
1359461,Pentagon Navy Petty (uncredited),Graham Curry,0,95
1163300,Reporter (uncredited),Stephanie Domini Ehlert,1,96
93752,Older Upscale Person (uncredited),John Farrer,0,97
1343309,Prisoner / Thug (uncredited),Frank Fata,0,98
1372419,Stock Broker (uncredited),Christopher Bryan Gomez,0,99
1502323,Thug (uncredited),Vito Grassi,0,100
1509064,Stockbroker in Snipers Scoop - Stock Exchange (uncredited),Michael Wren Gucciardo,2,101
1525392,Prisoner (uncredited),Sam Harris,2,102
1365976,Police Officer (uncredited),Ed Heavey,0,103
1098036,Gotham Police Officer / Fan (uncredited),John W. Iwanonkiw,2,104
1354413,Gordon's Cop #4 (uncredited),Cindy Jackson,0,105
123875,Boom Operator News Crew (uncredited),Daniel Jordano,0,106
127060,Gothamite (uncredited),William Kania,0,107
1388256,Gotham Rogues Fan (uncredited),Tiffany Kemp,0,108
1241239,Stock Broker (uncredited),Sun Jae Kim,0,109
1378466,Thug (uncredited),Hrvoje Klecz,0,110
1264686,Wall Street Broker (uncredited),Alex Kruz,0,111
1169299,Gotham City Police Officer (uncredited),Tyler La Marr,0,112
1269611,Thug (uncredited),LeJon,2,113
1446471,Gotham City Police Officer (uncredited),Paul Jude Letersky,0,114
1188950,Prisoner (uncredited),Joe Lipari,0,115
1383091,Tourist (uncredited),Silvia Lombardo,0,116
1480128,Gotham Rogues Fan (uncredited),Jorge Mardel,0,117
1174970,Gotham Rogues Fan (uncredited),Cale McConnell,0,118
127063,Gotham City Police Officer (uncredited),David Dale McCue,0,119
1480130,Gotham Rogues Fan (uncredited),Tiffany Sander McKenzie,1,120
1505308,Angry Mobster (uncredited),Allen Merritt,0,121
1509148,Wayne Enterprises Security (uncredited),Olan Montgomery,0,122
122339,Mercenary (uncredited),Alex Moore,0,123
93778,Gotham City Police Officer (uncredited),Shane Nolan,0,124
1205749,Prisoner / Thug (uncredited),Jackson Nunn,0,125
1480150,Gotham City News Cameraman (uncredited),Joseph O'Brien,0,126
20582,Prison Guard (uncredited),Michael Papajohn,2,127
1298014,Prisoner / Mob (uncredited),Salomon Passariello,0,128
1429650,Gotham Stock Trader (uncredited),Kyle David Pierce,0,129
1349600,Gotham Rogues Player (uncredited),Troy Polamalu,0,130
1066138,Gotham Police Officer (uncredited),Michael Power,0,131
565508,Thug (uncredited),James Rawlings,0,132
1513716,Doris in Black (uncredited),Kirsten Roeters,0,133
1215314,Gotham Rogues Player (uncredited),Ben Roethlisberger,0,134
1452954,Gotham Police Officer (uncredited),Mark Roman,2,135
1451618,Thug (uncredited),Anthony J. Sacco,2,136
1085730,Angry Thug (uncredited),Eric Salazar,0,137
557202,Hot Football Fan (uncredited),Emily Schooley,0,138
54211,Gotham Rogues Owner (uncredited),Thomas Tull,0,139
1480223,Thug (uncredited),Chris Vaina,2,140
102516,Prisoner (voice) (uncredited),Vincent van Ommen,0,141
1205751,Gotham City Press (uncredited),Michelle Vezzani,0,142
1205623,Gotham Rogues Fan (uncredited),Barbara Vincent,0,143
1521872,Gotham City Police Officer (uncredited),Justin Michael Woods,0,144
306870,Mercenary Soldier (uncredited),Jason Yee,0,145
1205141,Gotham Citizen (uncredited),Maria Zambrana,1,146
1343746,Gotham City Police Officer (uncredited),John Zion,0,147
1454322,Thug (uncredited),Alex Ziwak,2,148
1553053,Gotham City Police Officer (uncredited),Tommy Bayiokos,2,149
1553307,Football Fan (uncredited),Matthew Gooley,0,150
1553377,Cop (uncredited),Jeff Moffitt,0,151
1574936,Football Fan (uncredited),Mark Falvo,0,152
1576421,Thug (uncredited),Diogo Hausen,0,153
1580574,Prisoner (uncredited),Gary Sievers,2,154
1583389,Mercenary (uncredited),Orion McCabe,0,155
1633514,Court Room Thug (uncredited),London May,2,156
1673036,Gothamite (uncredited),James Quinn,2,157
1536670,Thug #2 in Basement,Daniel Newman,2,158
60900,John Carter,Taylor Kitsch,2,0
21044,Dejah Thoris,Lynn Collins,1,1
2206,Sola,Samantha Morton,1,2
5293,Tars Tarkas,Willem Dafoe,2,3
19159,Tal Hajus,Thomas Haden Church,2,4
2983,Matai Shang,Mark Strong,2,5
8785,Tardos Mors,Ciarán Hinds,2,6
17287,Sab Than,Dominic West,2,7
17648,Kantos Kan,James Purefoy,2,8
17419,Powell,Bryan Cranston,2,9
6416,Sarkoja,Polly Walker,1,10
57675,Edgar Rice Burroughs,Daryl Sabara,2,11
89830,Stayman #1 / Helm,Arkie Reece,2,12
205278,Stayman #3,Davood Ghadami,2,13
218345,Lightmaster,Pippa Nixon,1,14
1390394,Thern #2,James Embree,2,15
1518112,Thern #1,Philip Philmar,0,16
1721985,Pretty Woman in NYC Doorway,Emily Tierney,1,17
1721992,Telegraph Clerk,Edmund Kente,2,18
118617,Dalton,Nicholas Woodeson,2,19
1722006,Stable Boy,Kyle Agnew,2,20
130129,Dix the Storekeeper,Don Stark,2,21
65716,Rowdy #1,Josh Daugherty,2,22
1724736,Rowdy #2,Jared Cyr,2,23
62082,Stockade Guard,Christopher Goodman,2,24
1367241,Sarah Carter,Amanda Clayton,1,25
1844319,Apache #1 (as Joe Billingiere),Joseph Billingiere,0,26
2219,Peter Parker / Spider-Man,Tobey Maguire,2,0
205,Mary Jane Watson,Kirsten Dunst,1,1
17051,Harry Osborn / New Goblin,James Franco,2,2
17052,Eddie Brock / Venom,Topher Grace,2,4
18997,Gwen Stacey,Bryce Dallas Howard,1,5
18998,May Parker,Rosemary Harris,1,6
2505,Captain Stacey,James Cromwell,2,7
18999,J. Jonah Jameson,J.K. Simmons,2,8
9207,Mrs. Marko,Theresa Russell,1,9
19152,Dr. Curt Connors,Dylan Baker,2,10
5502,Joseph Robertson,Bill Nunn,2,11
9281,Miss Brant,Elizabeth Banks,1,12
11769,Hoffman,Ted Raimi,2,13
6585,Penny Marko,Perla Haney-Jardine,1,14
19153,Ben Parker,Cliff Robertson,0,16
2368,Mr. Ditkovitch,Elya Baskin,2,17
20645,Ursula,Mageina Tovah,1,18
20580,Flash Thompson,Joe Manganiello,2,20
7624,Man in Times Square,Stan Lee,2,21
11357,Maître d,Bruce Campbell,2,22
19155,Pianist,Christopher Young,2,23
7628,Driver,Grant Curtis,0,24
19154,John Jameson,Daniel Gillies,2,25
19326,Houseman,John Paxton,0,26
59206,Mrs. Stacy,Becky Ann Baker,1,27
78311,Photographer,Steve Valentine,2,28
116627,Anchorman,Hal Fishman,0,29
113608,Jennifer Dugan,Lucy Gordon,1,30
99932,Congratulatory Woman at Daily Bugle,Toni Wynne,1,31
552526,Crane Disaster Radio Policeman,Andre B. Blake,2,32
1226471,Play Director,Tim Maculan,2,33
159456,Play Producer,Marc Vann,2,34
105701,Jazz Club Manager,Joe Bays,2,35
66653,Precinct Detective,Gregg Daniel,2,36
1451076,Emergency Room Doctor,Rogelio T. Ramos,2,37
11766,Crane Operator,Timothy Patrick Quill,0,38
1781288,Woman Outside Theater,Kathryn Bryding,1,39
1739821,Police Detective,Joe Virzi,0,40
1735986,New Jersey State Policeman,Bill E. Rogers,0,41
1781297,New Jersey State Policeman,Michael Alexander,0,42
1435965,Test Site Technician,April Parker-Jones,1,43
1781298,Test Site Technician,Edward Padilla,0,44
233298,Test Site Technician,Robert Curtis Brown,2,45
60490,Test Site Technician,Paul Terrell Clayton,2,46
175606,Test Site Technician,Carolyn Neff,0,47
1656631,Test Site Technician,Christina Cindrich,1,48
173163,ICU Nurse,Sonya Maddox,0,49
1781299,Cop at Crane Disaster,Derrick 'Phoenix' Thomas,0,50
1781300,Mary Jane's Replacement,Jessi Collins,1,51
1781301,Boy at Key to the City Ceremony,Michael McLaughlin,0,52
1781302,Councilwoman,Anne Gartlan,1,53
53257,Policeman at Sand Truck,Emilio Rivera,2,54
92486,Policeman at Sand Truck,Keith Woulard,0,55
52946,Armored Car Driver,Reynaldo Gallegos,2,56
1781303,Newstand Patron,Jim Coope,0,57
98396,Newstand Patron,Dean Edwards,0,58
558055,Newstand Patron,Margaret Laney,1,59
1781304,Coffee Shop Waitress,Aimee Miles,1,60
1781307,Jazz Club Waitress,Tanya Bond,1,61
193946,Jazz Club Bouncer,Mark Kubr,2,62
1446719,Photoshoot Client,Tony Besson,0,63
1781308,Businessman (uncredited),Ramon Adams,0,64
1781309,Theater Attendee (uncredited),A.J. Adelman,0,65
1781310,Pedestrian (uncredited),Angelis Alexandris,0,66
1781311,I.C.U Nurse (uncredited),Dawn Marie Anderson,1,67
1653331,NYPD Officer (uncredited),Frank Anello,2,68
1781312,Model (uncredited),Anya Avaeva,1,69
111243,Bucket Boy (uncredited),David Backus,2,70
1781313,News Reporter (uncredited),Tiffany L. Baker,1,71
1781194,Photographer (uncredited),Marc C. Cancassi,0,72
1781318,Rescued Girl (uncredited),Sujeilee Candele,1,73
454223,Photographer (uncredited),Michael Ciesla,0,74
232042,Jazz Club Waitress (uncredited),Irina Costa,1,75
1496942,Theater Patron (uncredited),John Crann,0,76
1209717,Jazz Club Girl (uncredited),Crystal Marie Denha,1,77
1781325,Columbia Grad Student (uncredited),Amy V. Dewhurst,1,78
1509622,New York City Commuter / Driver (uncredited),Paul Edney,2,79
1610271,Girl at Key Ceremony (uncredited),Natalie Fabry,1,80
1781326,Pedestrian (uncredited),Keith Fausnaught,0,81
1781199,A Spidey Kid (uncredited),Amanda Florian,1,82
1781205,A Spidey Kid (uncredited),Brianna Leann Florian,1,83
1781217,A Spidey Kid (uncredited),Tiffany Ashley Florian,1,84
1781327,Businessman (uncredited),Shaun Patrick Flynn,0,85
1636759,Automobile Driver (uncredited),Logan Fry,0,86
1781328,Spectator (uncredited),Kevin Fung,0,87
1781329,News Spectator (uncredited),Tony Galtieri,0,88
1781330,Funeral Limo Driver (uncredited),Chuck Gerena,0,89
1639432,News Reporter (uncredited),Brian Hopson,0,90
1781331,Cop (uncredited),Claude Jay,0,91
1781332,Female New Yorker (uncredited),Julie Jei,1,92
1316667,Jazz Club Bouncer (uncredited),Andrew James Jones,0,93
105632,Girl at Key Ceremony (uncredited),Natalie Jones,1,94
1781333,Student (uncredited),Christopher Jude,0,95
1292243,ER Nurse (uncredited),Brittany Krall,1,96
1781334,Dog Walker (uncredited),Alyssa Lakota,1,97
1752230,Observer (uncredited),Tia Latrell,0,98
1781221,Businesswoman (uncredited),Linda Lee,1,99
570374,Woman in Court (uncredited),Pierangeli Llinas,1,100
1246221,British Publicist (uncredited),Bernadette Lords,1,101
1781344,Shocked Pedestrian (uncredited),Sandrine Marlier,1,102
1781345,Journalist (uncredited),Laura McDavid,1,103
1781346,Girl Screaming in Camaro (uncredited),Natalie McNeil,1,104
1781347,Kid in Times Square (uncredited),Daniel Mignault,0,105
163930,Oscorp Receptionist (uncredited),Martha Millan,1,106
1781348,Girl in Times Square (uncredited),Michele-Nanette Miller,1,107
1697017,Robbie's Assistant (uncredited),Claudia Katz Minnick,1,108
1781349,Theatergoer (uncredited),Robert Myers,0,109
1178562,Beautiful Girl (uncredited),Jen Oda,1,111
1344665,Beautiful Woman (uncredited),Anjelia Pelay,1,112
118389,Police Officer (uncredited),Nick Poltoranin,0,113
1781350,Beautiful Woman (uncredited),Vanessa Reseland,1,114
1781351,Beautiful Woman (uncredited),La Rivers,0,115
60127,Businesswoman (uncredited),Bria Roberts,1,116
1781352,Pedestrian (uncredited),Luis Rosa,0,117
1422991,Sandman Victim (uncredited),Vanessa Ross,1,118
106147,Bad Girl (uncredited),Brenna Roth,1,119
1691382,City Hall Cheerer (uncredited),Shade Rupe,0,120
1781353,Guy with Ticket (uncredited),Arick Salmea,0,121
1367833,Jazz Club Beatnik (uncredited),Eric Shackelford,0,122
1781354,Jazz Club Guest (uncredited),Daniel Shafer,0,123
1781355,Café Girl (uncredited),Abbey Skinner,1,124
1781356,Jazz Club Patron (uncredited),Kristin Somo,1,125
1340943,Jazz Club Waitress (uncredited),Jennifer Sparks,1,126
211964,Firefighter (uncredited),Christopher Stadulis,0,127
1781358,Police Officer (uncredited),Jimmy Star,0,128
1778304,Broadway Audience Member (uncredited),Arne Starr,0,129
1781359,Jazz Club Musician (uncredited),Liam Stone,0,130
1781360,Girl in Cab (uncredited),Tajna Tanovic,1,131
1454306,Model (uncredited),Aija Terauda,1,132
1781361,Hot Girl (uncredited),Brigid Turner,0,133
1781362,Beautiful Woman (uncredited),Evelyn Vaccaro,1,134
1781365,Bar Patron #5 (uncredited),Nick Vlassopoulos,0,135
1614425,Model (uncredited),Sincerely A. Ward,1,136
567242,Model (uncredited),Silq Webster,0,137
1781366,Student (uncredited),Graig F. Weich,0,138
1781368,Restaurant Patron (uncredited),Fredrick Weiss,0,139
1225878,ER Nurse (uncredited),Jennifer Weston,1,140
1781371,City Hall Cheerer (uncredited),Trenton Willey,0,141
1368459,Spectator (uncredited),Ray Wineteer,2,142
69899,Flynn Rider (voice),Zachary Levi,2,0
16855,Rapunzel (voice),Mandy Moore,1,1
2517,Mother Gothel (voice),Donna Murphy,1,2
2372,Stabbington Brother (voice),Ron Perlman,2,3
22132,Captain of the Guard (voice),M.C. Gainey,2,4
4175,Big Nose Thug (voice),Jeffrey Tambor,2,5
18,Hook Hand Thug (voice),Brad Garrett,2,6
1219029,Short Thug (voice),Paul F. Tompkins,0,7
10460,Vlad (voice),Richard Kiel,0,8
1273208,Young Rapunzel / Little Girl (voice),Delaney Rose Stein,0,9
